"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-02","Feb-1979","IDX","Index","0","units","2010_100","2010=100",13.47978,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-03","Mar-1979","IDX","Index","0","units","2010_100","2010=100",13.60942,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-04","Apr-1979","IDX","Index","0","units","2010_100","2010=100",13.7755,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-05","May-1979","IDX","Index","0","units","2010_100","2010=100",13.90666,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-06","Jun-1979","IDX","Index","0","units","2010_100","2010=100",14.10703,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-07","Jul-1979","IDX","Index","0","units","2010_100","2010=100",14.37257,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-08","Aug-1979","IDX","Index","0","units","2010_100","2010=100",14.5025,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-09","Sep-1979","IDX","Index","0","units","2010_100","2010=100",14.69135,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-10","Oct-1979","IDX","Index","0","units","2010_100","2010=100",14.90029,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-11","Nov-1979","IDX","Index","0","units","2010_100","2010=100",15.06213,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1979-12","Dec-1979","IDX","Index","0","units","2010_100","2010=100",15.23548,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-01","Jan-1980","IDX","Index","0","units","2010_100","2010=100",15.57558,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-02","Feb-1980","IDX","Index","0","units","2010_100","2010=100",15.86007,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-03","Mar-1980","IDX","Index","0","units","2010_100","2010=100",16.02736,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-04","Apr-1980","IDX","Index","0","units","2010_100","2010=100",16.27571,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-05","May-1980","IDX","Index","0","units","2010_100","2010=100",16.41698,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-06","Jun-1980","IDX","Index","0","units","2010_100","2010=100",16.57081,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-07","Jul-1980","IDX","Index","0","units","2010_100","2010=100",16.73602,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-08","Aug-1980","IDX","Index","0","units","2010_100","2010=100",16.86642,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-09","Sep-1980","IDX","Index","0","units","2010_100","2010=100",17.04132,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-10","Oct-1980","IDX","Index","0","units","2010_100","2010=100",17.22883,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-11","Nov-1980","IDX","Index","0","units","2010_100","2010=100",17.40532,,
