date;GDP;Cons;Inv;Lab;Hours;Infl;Wage;FFR;CB_Bonds;CB_Loans;CBL;CB_Bonds_10Y;BAASpread;GZSpread;ACMTP10;R10obs
1-jan-81;1.58092587;-0.234620573;6.449972976;0.10249912;0.001144005;2.599538202;-0.1132461;4.1425;0;0;0;0;0.571666667;0.238483333;0.997247759;3.2825
1-apr-81;-1.082575499;-0.078977695;-4.003850187;0.226795412;-0.004024228;1.961861789;-0.249820783;4.445;0;0;0;0;0.505;0.2879;0.828927467;3.465
1-jul-81;0.851837078;-0.451657636;3.887303194;-0.806687282;-0.00410829;1.864206316;0.357481898;4.394166667;0;0;0;0;0.4075;0.276208333;1.106370136;3.96
01-Oct-1981;-1.421967132;-0.215348532;-4.726337481;-1.916518242;0.000629421;1.714448953;-0.071128002;3.396666667;0;0;0;0;0.649166667;0.354741667;1.111422501;3.495
1-jan-82;-1.884468325;0.034137276;-6.994195396;-3.46493506;-0.009424535;1.366478295;1.249982376;3.556666667;0;0;0;0;0.685;0.381541667;0.909337547;3.545
1-apr-82;0.147801402;-0.322753896;-0.632131889;-3.448178294;0.006817124;1.290712956;-0.515515275;3.628333333;0;0;0;0;0.7125;0.393791667;0.959141528;3.61
1-jul-82;-0.680792762;0.673731671;-1.441853284;-4.045160836;-8.73545E-05;1.407671739;0.152518705;2.751666667;0;0;0;0;0.783333333;0.417591667;1.004243133;2.9325
01-Oct-1982;-0.251120229;1.245477305;-5.122028069;-5.146903118;-0.000990551;1.03090589;0.438880934;2.321666667;0;0;0;0;0.930833333;0.409316667;0.867232391;2.59
1-jan-83;1.028121607;0.782840751;1.497026176;-5.210994404;0.003675637;0.752871625;0.248023402;2.163333333;0;0;0;0;0.8175;0.297216667;0.879606544;2.655
1-apr-83;1.973195678;1.26301557;6.920151342;-4.203922986;0.002291638;0.739367594;0.213105601;2.200833333;0;0;0;0;0.676666667;0.218791667;0.895168007;2.74
1-jul-83;1.704668312;1.566152198;4.193868129;-2.633699511;0.007265551;1.057982871;-0.52912341;2.365;0;0;0;0;0.475;0.213491667;0.990825921;2.86
01-Oct-1983;1.753600361;0.687396687;7.282283526;-1.4170047;0.000565554;0.755262737;0.381579275;2.3575;0;0;0;0;0.48;0.222275;1.027902044;2.955
1-jan-84;1.627076909;0.303959728;6.512382422;-0.588441328;0.003386623;1.006522936;0.12618229;2.421666667;0;0;0;0;0.45;0.223875;1.070985152;3.1325
1-apr-84;1.407338249;1.110580104;2.159479736;0.329782208;0.001488777;0.852302262;0.193627468;2.639166667;0;0;0;0;0.375;0.20185;1.225088613;3.46
1-jul-84;0.650261268;0.517065079;0.579040025;0.136812802;-0.003773968;0.88462697;0.572774136;2.8475;0;0;0;0;0.460833333;0.225108333;0.935720769;3.1175
