date,gz_spread,ebp,est_prob
JUL1991,1.3971,0.1973,0.2839457933
AUG1991,1.3075,0.1117,0.2492045091
SEP1991,1.3956,0.1213,0.2529938373
OCT1991,1.3718,0.1142,0.2501873301
NOV1991,1.3643,0.1431,0.2616996799
DEC1991,1.5516,0.1515,0.2650957936
JAN1992,1.3508,0.0286,0.2177775817
FEB1992,1.2942,0.0806,0.2371933134
MAR1992,1.2223,0.0300,0.2183049216
APR1992,1.2242,0.0183,0.2140473441
MAY1992,1.2379,-0.0149,0.2022765012
JUN1992,1.2115,-0.0269,0.19814658
JUL1992,1.2781,-0.1149,0.1692608219
AUG1992,1.4111,0.0852,0.2389523242
SEP1992,1.5210,0.1805,0.2769664019
OCT1992,1.4158,0.1120,0.2493157229
NOV1992,1.2892,0.0830,0.2380907728
DEC1992,1.3587,0.1173,0.2514057366
JAN1993,1.3894,0.0813,0.2374513865
FEB1993,1.4162,0.0476,0.2247655851
MAR1993,1.3659,0.0289,0.2178942182
APR1993,1.4179,0.0554,0.2276520153
MAY1993,1.3326,0.0239,0.2160704246
JUN1993,1.3091,-0.0682,0.1842297647
JUL1993,1.2896,-0.0743,0.1822175902
AUG1993,1.3723,-0.0879,0.1778199836
SEP1993,1.4032,0.0104,0.2112085751
OCT1993,1.3541,-0.0556,0.1884229406
NOV1993,1.2778,-0.1377,0.1622618562
DEC1993,1.2532,-0.1659,0.1538509516
JAN1994,1.2125,-0.2517,0.130057825
FEB1994,1.1130,-0.4509,0.0849604227
MAR1994,1.2032,-0.3174,0.1136320289
APR1994,1.2112,-0.2735,0.1244200213
MAY1994,1.2439,-0.2749,0.1240754869
JUN1994,1.2008,-0.3228,0.1123575513
JUL1994,1.1963,-0.2990,0.118076224
AUG1994,1.1746,-0.2639,0.1268926571
SEP1994,1.1561,-0.3958,0.0960680641
OCT1994,1.1856,-0.2959,0.1188285397
NOV1994,1.2329,-0.2416,0.1326985033
DEC1994,1.2715,-0.1841,0.1485763336
JAN1995,1.2626,-0.2290,0.1360651924
FEB1995,1.2218,-0.2749,0.1240839218
MAR1995,1.2233,-0.2849,0.1215680812
APR1995,1.1922,-0.2378,0.1337237544
MAY1995,1.2974,-0.3469,0.1067724708
JUN1995,1.3166,-0.1567,0.1565379578
JUL1995,1.2403,-0.3369,0.1090729183
AUG1995,1.2578,-0.2231,0.1376723629
SEP1995,1.2456,-0.1900,0.1468850441
OCT1995,1.3292,-0.1456,0.1598476418
NOV1995,1.3790,-0.0657,0.1850511747
DEC1995,1.3964,-0.0776,0.1811553729
JAN1996,1.3812,-0.1225,0.1668967545
FEB1996,1.2880,-0.3561,0.1046905166
MAR1996,1.2477,-0.3673,0.1022141293
APR1996,1.2390,-0.3172,0.1136891634
MAY1996,1.1908,-0.3442,0.1073902335
JUN1996,1.2466,-0.3040,0.1168509107
JUL1996,1.2648,-0.3387,0.108660505
AUG1996,1.2368,-0.4121,0.0926815874
SEP1996,1.2150,-0.4089,0.093340408
OCT1996,1.2583,-0.3475,0.1066387938
NOV1996,1.3041,-0.3148,0.1142575692
DEC1996,1.2328,-0.4179,0.0914830262
JAN1997,1.2469,-0.3335,0.109861674
FEB1997,1.1593,-0.4748,0.0804575203
MAR1997,1.1865,-0.4789,0.079700989
APR1997,1.1975,-0.4220,0.0906679399
MAY1997,1.1248,-0.4503,0.0850899977
JUN1997,1.1284,-0.5331,0.0702450629
JUL1997,1.1828,-0.5055,0.0749544965
AUG1997,1.1295,-0.5010,0.0757403253
SEP1997,1.1370,-0.5619,0.0655747261
OCT1997,1.3061,-0.3928,0.0967037879
NOV1997,1.2936,-0.3249,0.111865387
DEC1997,1.2926,-0.3912,0.0970431141
JAN1998,1.3552,-0.3281,0.1111223076
FEB1998,1.3082,-0.3144,0.1143651575
MAR1998,1.2967,-0.3676,0.102149516
APR1998,1.1978,-0.4479,0.0855486385
MAY1998,1.2041,-0.3949,0.0962469733
JUN1998,1.3008,-0.3647,0.1027753559
JUL1998,1.3577,-0.3089,0.1156693988
AUG1998,1.9870,0.0944,0.2424638005
SEP1998,2.0946,0.0751,0.2350699152
OCT1998,2.2404,0.1908,0.2812254888
NOV1998,1.9718,0.1843,0.278515414
DEC1998,1.9386,0.0491,0.2253216239
JAN1999,1.8999,0.0545,0.2273246214
FEB1999,1.7646,-0.1879,0.1474726775
MAR1999,1.6637,-0.1484,0.1590329735
APR1999,1.6059,-0.2000,0.1440431425
MAY1999,1.6496,-0.1868,0.1477842119
JUN1999,1.6813,-0.1339,0.1633989782
JUL1999,1.7500,-0.0825,0.179554611
AUG1999,1.9475,-0.0337,0.195790442
SEP1999,1.9890,0.0829,0.2380530412
OCT1999,2.0553,0.0937,0.2422257091
NOV1999,2.0035,0.0594,0.2291466599
DEC1999,1.8367,-0.1640,0.1543903112
JAN2000,1.9300,0.0354,0.2202549177
FEB2000,2.0883,0.1061,0.2470154876
MAR2000,2.4350,0.3510,0.3515642417
APR2000,2.5893,0.5099,0.426732403
MAY2000,2.7696,0.7086,0.5242921832
JUN2000,2.7648,0.7563,0.5477227297
JUL2000,2.8882,0.8379,0.5873469044
AUG2000,3.0109,0.9899,0.6586005727
SEP2000,3.1517,1.0897,0.7026418374
OCT2000,3.5906,1.4721,0.8424820072
NOV2000,3.6957,1.5547,0.8658135112
DEC2000,3.7276,1.5627,0.8679361936
JAN2001,3.3372,1.1355,0.7219321767
FEB2001,3.2570,1.1713,0.7365641806
MAR2001,3.2146,1.1052,0.7092221821
APR2001,3.1842,0.9353,0.6334922549
MAY2001,2.9329,0.7322,0.5358728567
JUN2001,3.0492,0.9834,0.6556358302
JUL2001,2.9950,0.7418,0.5406133471
AUG2001,2.9911,0.7338,0.5366592817
SEP2001,3.4938,1.2090,0.7515808185
OCT2001,3.4050,1.0252,0.6744634851
NOV2001,2.9549,-0.2027,0.1433047968
DEC2001,2.8863,0.3875,0.3684277059
JAN2002,2.9173,0.5532,0.4477845272
FEB2002,2.9464,0.7755,0.5570930232
MAR2002,2.6130,0.2592,0.3104342078
